ID,randomID,yday,timegroup,EASTING,NORTHING,group,datetime
A,A,19,5,650754.11372114,5307114.93634649,5_3,2010-01-19T03:30:47Z
A,A,19,166,660119.199440802,5315173.02779865,166_3,2011-01-19T13:30:47Z
A,A,19,167,660047.522591069,5313386.29839413,167_3,2011-01-19T18:31:46Z
A,A,19,168,660202.273126482,5313042.89448767,168_3,2011-01-19T23:31:48Z
A,A,19,332,647489.545301654,5297505.41311448,332_1,2012-01-19T04:30:11Z
A,A,19,332,647492.481430681,5297502.83675357,332_1,2012-01-19T05:30:41Z
A,A,19,333,647493.341123508,5297504.43337275,333_1,2012-01-19T06:30:11Z
A,A,19,333,647499.600974252,5297499.88549904,333_1,2012-01-19T07:30:24Z
A,A,19,334,647527.898946582,5297476.43582047,334_1,2012-01-19T08:30:12Z
A,A,19,334,647507.834469799,5297507.89217899,334_1,2012-01-19T09:30:43Z
A,A,19,335,647507.883133652,5297496.52128202,335_1,2012-01-19T10:30:08Z
A,A,19,335,647510.104962637,5297492.99257286,335_1,2012-01-19T11:30:10Z
A,A,19,336,647505.686155364,5297505.39306113,336_1,2012-01-19T12:30:24Z
A,A,19,336,647510.375430757,5297507.6533557,336_1,2012-01-19T13:30:23Z
A,A,19,337,647548.065282408,5297517.19732696,337_3,2012-01-19T14:30:14Z
A,A,19,338,647472.627073869,5297875.72962997,338_1,2012-01-19T16:30:41Z
A,A,19,338,647428.842367451,5297806.8079886,338_1,2012-01-19T17:30:06Z
A,A,19,339,647423.003598134,5297807.63228577,339_1,2012-01-19T18:30:42Z
A,A,19,339,647419.426153287,5297797.25661366,339_1,2012-01-19T19:30:44Z
A,A,19,340,647460.210497094,5297871.08382721,340_1,2012-01-19T20:30:18Z
A,A,19,340,647529.768595394,5297922.09669337,340_1,2012-01-19T21:30:21Z
A,A,19,341,647527.0719837,5297912.29054524,341_1,2012-01-19T22:30:41Z
A,A,19,341,647634.82420541,5297848.39307959,341_1,2012-01-19T23:30:13Z
A,A,19,342,647625.757652568,5297341.79523636,342_1,2012-01-20T00:30:10Z
A,A,19,342,647417.196704443,5297508.46597414,342_2,2012-01-20T01:30:55Z
A,A,19,343,647492.699450928,5297529.22531138,343_1,2012-01-20T02:30:24Z
A,A,23,184,660307.395087645,5311542.02051002,184_3,2011-01-23T03:30:49Z
A,A,23,186,660282.084116086,5311494.3101982,186_3,2011-01-23T13:30:54Z
A,A,23,188,660446.495389261,5311667.83647823,188_3,2011-01-23T23:31:23Z
A,A,23,384,647092.017824946,5298292.95432428,384_1,2012-01-23T04:30:09Z
A,A,23,384,647037.892970796,5298183.44213246,384_1,2012-01-23T05:30:21Z
A,A,23,385,646681.273318183,5297780.9106128,385_1,2012-01-23T06:30:48Z
A,A,23,385,646592.36679863,5297637.85004175,385_1,2012-01-23T07:30:26Z
A,A,23,386,646613.250492823,5297654.16170686,386_1,2012-01-23T08:30:54Z
A,A,23,386,646627.975191565,5297683.69450236,386_1,2012-01-23T09:30:17Z
A,A,23,387,646421.449783244,5298442.1556741,387_1,2012-01-23T10:30:06Z
A,A,23,387,646444.634151453,5298499.39935299,387_1,2012-01-23T11:30:50Z
A,A,23,388,646444.764807162,5298497.37423903,388_1,2012-01-23T12:30:08Z
A,A,23,388,646439.322201008,5298511.1929745,388_1,2012-01-23T13:30:10Z
A,A,23,389,646303.450830749,5298534.29786781,389_2,2012-01-23T14:30:23Z
A,A,23,390,646206.719615484,5298545.76303929,390_1,2012-01-23T16:30:15Z
A,A,23,390,646256.913936148,5298670.98347162,390_1,2012-01-23T17:30:53Z
A,A,23,391,646206.825897267,5298634.06308021,391_1,2012-01-23T18:30:14Z
A,A,23,391,645926.143641044,5298750.93987652,391_2,2012-01-23T19:30:49Z
A,A,23,392,645951.736209024,5298679.54463283,392_1,2012-01-23T20:30:13Z
A,A,23,392,645949.376727591,5298678.73000267,392_1,2012-01-23T21:30:26Z
A,A,23,393,645988.617454959,5298749.0211081,393_2,2012-01-23T22:30:53Z
A,A,23,393,646388.699210105,5298873.31381323,393_1,2012-01-23T23:30:41Z
A,A,23,394,646903.815816815,5298788.31110333,394_2,2012-01-24T00:30:14Z
A,A,23,394,647352.192856673,5298218.61046431,394_1,2012-01-24T01:30:52Z
A,A,23,395,647399.919484122,5298000.89425333,395_1,2012-01-24T02:30:12Z
A,A,25,35,653325.981140505,5305166.50518427,35_3,2010-01-25T03:30:41Z
A,A,25,36,653186.841861845,5304370.79482666,36_3,2010-01-25T08:30:50Z
A,A,25,37,653170.101594051,5304390.9276451,37_3,2010-01-25T13:30:43Z
A,A,25,39,652442.3283971,5302865.62198129,39_3,2010-01-25T23:30:53Z
A,A,25,409,648514.571053172,5296694.66699539,409_2,2012-01-25T03:30:18Z
A,A,25,410,648590.911604403,5297417.35264755,410_2,2012-01-25T04:30:12Z
A,A,25,410,649267.166920031,5298261.96410091,410_1,2012-01-25T05:30:42Z
A,A,25,411,649267.755359093,5298264.58715361,411_1,2012-01-25T06:30:07Z
A,A,25,411,649265.491031403,5298257.07322487,411_1,2012-01-25T07:30:16Z
A,A,25,412,649169.772573535,5298101.89116657,412_1,2012-01-25T08:30:23Z
A,A,25,412,649298.21219944,5298023.90102446,412_1,2012-01-25T09:30:17Z
A,A,25,413,648374.757681714,5298075.62320646,413_1,2012-01-25T10:30:08Z
A,A,25,413,648360.176328003,5298075.52061601,413_1,2012-01-25T11:30:25Z
A,A,25,414,648339.39583217,5298112.35507436,414_1,2012-01-25T12:30:10Z
A,A,25,414,648346.168113406,5298094.39944218,414_1,2012-01-25T13:30:24Z
A,A,25,415,648341.401572694,5298091.79392709,415_2,2012-01-25T14:30:07Z
A,A,25,416,648415.077500775,5297493.6723539,416_2,2012-01-25T16:30:23Z
A,A,25,416,648476.095029412,5297268.78298471,416_1,2012-01-25T17:30:44Z
A,A,25,417,648444.117334959,5297247.38452316,417_1,2012-01-25T18:30:14Z
A,A,25,417,648449.018755186,5297241.63397858,417_1,2012-01-25T19:30:12Z
A,A,25,418,648432.68274837,5297233.30910632,418_1,2012-01-25T20:30:42Z
A,A,25,418,648238.385538805,5296757.29349212,418_2,2012-01-25T21:30:10Z
A,A,25,419,648366.091653308,5296462.99359651,419_1,2012-01-25T22:30:09Z
A,A,25,419,648343.256725836,5296353.86763464,419_1,2012-01-25T23:30:43Z
A,A,25,420,648358.971056166,5296135.16721943,420_1,2012-01-26T00:30:11Z
A,A,25,420,648131.701397,5295994.3647644,420_2,2012-01-26T01:30:21Z
A,A,25,421,648159.84424823,5296126.45983341,421_1,2012-01-26T02:30:08Z
A,A,26,43,652155.133973865,5302278.3077934,43_3,2010-01-26T18:30:50Z
A,A,26,199,660195.069840556,5313786.99310579,199_3,2011-01-26T03:30:49Z
A,A,26,423,648158.560056315,5296122.21328109,423_1,2012-01-26T04:30:25Z
A,A,26,423,648157.852764498,5296124.29145717,423_1,2012-01-26T05:30:07Z
A,A,26,424,648263.08197556,5296050.24615908,424_1,2012-01-26T06:30:19Z
A,A,26,424,648362.253700738,5296007.8085732,424_1,2012-01-26T07:30:49Z
A,A,26,425,648351.574521486,5296024.75665536,425_1,2012-01-26T08:30:09Z
A,A,26,425,648351.794918222,5296025.74649871,425_1,2012-01-26T09:30:06Z
A,A,26,426,648353.791888003,5296024.57104295,426_1,2012-01-26T10:30:20Z
A,A,26,426,648476.448727921,5296005.59616992,426_1,2012-01-26T11:30:43Z
A,A,26,427,648494.449406199,5296066.93904669,427_1,2012-01-26T12:30:13Z
A,A,26,427,648488.113103517,5296083.84148835,427_1,2012-01-26T13:30:41Z
A,A,26,428,648492.271279458,5296062.44039023,428_2,2012-01-26T14:30:42Z
A,A,26,428,648529.282371703,5296193.79208,428_2,2012-01-26T15:30:11Z
A,A,26,429,648428.262735915,5296365.13579367,429_1,2012-01-26T16:30:22Z
A,A,26,429,648228.858077184,5296599.24009824,429_2,2012-01-26T17:30:44Z
A,A,26,430,648061.307511703,5296579.8673782,430_1,2012-01-26T18:30:13Z
A,A,26,430,648058.861164817,5296573.05111591,430_1,2012-01-26T19:30:42Z
A,A,26,431,648068.762964809,5296573.56463675,431_1,2012-01-26T20:30:11Z
A,A,26,431,648005.87413526,5296479.83789379,431_1,2012-01-26T21:30:11Z
A,A,26,432,648009.322016158,5296435.06684739,432_2,2012-01-26T22:30:23Z
A,A,26,432,648175.883807191,5296766.21668805,432_1,2012-01-26T23:30:11Z
A,A,26,433,648156.775099398,5297142.06388714,433_2,2012-01-27T00:30:09Z
A,A,26,433,648428.28209622,5297458.08501756,433_1,2012-01-27T01:30:25Z
A,A,26,434,648630.787988008,5297361.16524953,434_1,2012-01-27T02:30:42Z
A,A,31,65,651405.832029802,5304814.12467652,65_3,2010-01-31T03:30:48Z
A,A,31,66,651695.315234738,5305249.39142463,66_3,2010-01-31T08:30:48Z
A,A,31,67,651273.301273724,5304094.78898691,67_3,2010-01-31T13:30:53Z
A,A,31,488,649896.799183858,5298416.84459456,488_1,2012-01-31T04:30:12Z
A,A,31,488,649900.372640665,5298414.87646291,488_1,2012-01-31T05:30:15Z
A,A,31,489,649898.5199349,5298420.03977364,489_1,2012-01-31T06:30:41Z
A,A,31,489,649734.878575672,5298519.04711903,489_1,2012-01-31T07:30:14Z
A,A,31,490,649702.762615036,5298433.10336183,490_1,2012-01-31T08:30:17Z
A,A,31,490,649721.300342932,5298349.62273728,490_1,2012-01-31T09:30:44Z
A,A,31,491,649724.075278276,5298350.0593263,491_1,2012-01-31T10:30:12Z
A,A,31,491,649726.832119834,5298351.16604603,491_1,2012-01-31T11:30:12Z
A,A,31,492,649723.05182727,5298354.81821362,492_1,2012-01-31T12:30:41Z
A,A,31,492,649713.018217712,5298330.89077896,492_1,2012-01-31T13:30:12Z
A,A,31,493,649889.494992386,5298426.82218563,493_4,2012-01-31T14:30:21Z
A,A,31,494,650203.990274745,5298992.07197155,494_2,2012-01-31T16:30:41Z
A,A,31,494,650479.619443708,5299091.0302102,494_1,2012-01-31T17:30:07Z
A,A,31,495,650478.182598609,5299140.32493923,495_2,2012-01-31T18:30:43Z
A,A,31,495,650586.677688583,5299356.29396963,495_1,2012-01-31T19:30:44Z
A,A,31,496,650587.911694372,5299356.18375176,496_1,2012-01-31T20:30:14Z
A,A,31,496,650574.729538944,5299339.89950093,496_1,2012-01-31T21:30:33Z
A,A,31,497,650659.070857419,5299307.07122368,497_1,2012-01-31T22:30:24Z
A,A,31,497,650661.411114283,5299368.75769073,497_1,2012-01-31T23:30:07Z
A,A,31,498,651075.308770426,5299084.87240762,498_1,2012-02-01T00:30:52Z
A,A,31,498,651058.219029802,5299264.26407553,498_1,2012-02-01T01:30:53Z
A,A,31,499,651106.644068067,5299411.00623279,499_1,2012-02-01T02:32:22Z
A,A,36,251,664783.656673345,5325533.19369446,251_3,2011-02-05T13:30:47Z
A,A,36,252,664777.663717677,5325517.63507815,252_3,2011-02-05T18:30:44Z
A,A,36,253,664013.166809887,5324861.93321255,253_3,2011-02-05T23:30:50Z
A,A,36,552,652082.881906592,5298491.64245963,552_3,2012-02-05T03:30:26Z
A,A,36,553,652091.114377538,5298467.55899166,553_1,2012-02-05T04:30:11Z
A,A,36,553,652092.533046686,5298469.77827841,553_1,2012-02-05T05:30:47Z
A,A,36,554,652090.479109835,5298460.89734864,554_1,2012-02-05T06:30:42Z
A,A,36,554,652093.081208045,5298496.47477064,554_1,2012-02-05T07:30:23Z
A,A,36,555,652028.644245641,5298427.63870659,555_1,2012-02-05T08:30:21Z
A,A,36,555,651878.465667869,5298258.30801724,555_2,2012-02-05T09:30:17Z
A,A,36,556,651879.482026618,5298241.16354226,556_1,2012-02-05T10:30:24Z
A,A,36,556,651880.681867114,5298242.39390925,556_1,2012-02-05T11:30:03Z
A,A,36,557,651879.863200284,5298248.8127127,557_1,2012-02-05T12:30:15Z
A,A,36,557,651879.548645064,5298241.82144296,557_1,2012-02-05T13:30:44Z
A,A,36,559,652072.618640091,5298451.03591097,559_1,2012-02-05T16:30:42Z
A,A,36,559,652054.917547672,5298451.18004838,559_1,2012-02-05T17:30:13Z
A,A,36,560,652055.891970266,5298457.7916577,560_1,2012-02-05T18:30:20Z
A,A,36,560,652059.224892418,5298458.85015039,560_1,2012-02-05T19:30:42Z
A,A,36,561,652058.341962941,5298461.26694098,561_1,2012-02-05T20:30:19Z
A,A,36,561,652080.969101138,5298508.5320435,561_1,2012-02-05T21:30:07Z
A,A,36,562,652036.952625431,5298477.43552589,562_1,2012-02-05T22:30:26Z
A,A,36,562,652028.803166551,5298259.39088053,562_2,2012-02-05T23:30:16Z
A,A,36,563,651956.138129622,5298210.97947364,563_2,2012-02-06T00:30:42Z
A,A,36,563,652058.940481841,5298033.81029675,563_1,2012-02-06T01:32:03Z
A,A,36,564,652102.743592135,5297994.00333651,564_1,2012-02-06T02:30:17Z
A,A,38,101,651127.002974874,5304305.72327974,101_3,2010-02-07T08:30:43Z
A,A,38,103,648682.412867353,5306108.38736895,103_3,2010-02-07T18:30:55Z
A,A,38,104,648422.961680769,5305677.95964304,104_3,2010-02-07T23:30:47Z
A,A,38,259,664242.170084502,5325638.43588733,259_3,2011-02-07T03:31:12Z
A,A,38,260,664140.261342739,5325649.98062282,260_3,2011-02-07T08:30:42Z
A,A,38,261,664262.926685713,5325678.84713594,261_3,2011-02-07T13:30:43Z
A,A,38,579,652651.976540685,5297961.99616554,579_1,2012-02-07T04:30:23Z
A,A,38,579,652653.428529422,5297966.21496536,579_1,2012-02-07T05:30:13Z
A,A,38,580,652721.734151794,5297882.19462321,580_1,2012-02-07T06:30:14Z
A,A,38,580,652723.762913153,5297799.77272127,580_1,2012-02-07T07:30:44Z
A,A,38,581,652736.817997135,5297646.16316825,581_1,2012-02-07T08:30:12Z
A,A,38,581,652740.933020154,5297610.37117876,581_1,2012-02-07T09:30:16Z
A,A,38,582,652740.283428061,5297616.44849438,582_1,2012-02-07T10:30:21Z
A,A,38,582,652731.137901348,5297589.47264027,582_1,2012-02-07T11:30:10Z
A,A,38,583,652720.371361665,5297613.74981492,583_1,2012-02-07T12:30:10Z
A,A,38,583,652785.831254955,5297449.04341371,583_1,2012-02-07T13:30:56Z
A,A,38,584,652845.814802453,5297032.29702654,584_3,2012-02-07T14:30:30Z
A,A,38,584,652745.297444224,5297011.98708632,584_3,2012-02-07T15:30:41Z
A,A,38,585,652795.492680151,5297382.03588004,585_2,2012-02-07T16:30:09Z
A,A,38,585,653111.027451049,5297259.2112632,585_1,2012-02-07T17:30:41Z
A,A,38,586,653100.525024046,5297253.40388595,586_1,2012-02-07T18:30:41Z
A,A,38,586,653104.129115672,5297253.43695774,586_1,2012-02-07T19:30:09Z
A,A,38,587,653103.946570072,5297251.1055504,587_2,2012-02-07T20:30:12Z
A,A,38,587,653171.413538176,5297059.15094543,587_1,2012-02-07T21:30:49Z
A,A,38,588,652982.768459056,5297504.77063739,588_1,2012-02-07T22:30:07Z
A,A,38,588,652968.370332833,5297516.35652093,588_1,2012-02-07T23:30:16Z
A,A,38,589,652724.533665458,5297792.33958074,589_1,2012-02-08T00:30:24Z
A,A,38,589,652633.34358363,5297785.29126463,589_1,2012-02-08T01:30:37Z
A,A,38,590,652559.108921996,5298059.06203177,590_1,2012-02-08T02:30:19Z
A,A,42,120,650575.595909206,5307244.2888158,120_3,2010-02-11T03:30:47Z
A,A,42,123,650588.838128087,5306686.65246586,123_3,2010-02-11T18:30:48Z
A,A,42,281,660998.869059235,5325437.89087587,281_3,2011-02-11T13:30:47Z
A,A,42,283,661117.978391455,5325406.80967203,283_3,2011-02-11T23:30:53Z
A,A,42,630,652426.430209536,5298568.84811925,630_3,2012-02-11T03:30:41Z
A,A,42,631,652425.447945336,5298568.60537135,631_1,2012-02-11T04:30:42Z
A,A,42,631,652389.715986252,5298495.68374575,631_1,2012-02-11T05:30:23Z
A,A,42,632,652302.43505689,5298458.18521543,632_1,2012-02-11T06:30:48Z
A,A,42,632,652273.673447437,5298451.89966977,632_1,2012-02-11T07:30:13Z
A,A,42,633,652168.87471042,5298400.83129337,633_1,2012-02-11T08:30:10Z
A,A,42,633,652039.990165029,5298225.6894991,633_2,2012-02-11T09:30:56Z
A,A,42,634,652094.349945376,5298221.1329297,634_1,2012-02-11T10:30:10Z
A,A,42,634,652116.240253197,5298179.48558493,634_1,2012-02-11T11:30:11Z
A,A,42,635,652114.192729199,5298179.33054508,635_1,2012-02-11T12:30:41Z
A,A,42,635,652113.977734508,5298159.9027655,635_1,2012-02-11T13:31:03Z
A,A,42,636,652227.840153501,5298150.73660444,636_3,2012-02-11T15:30:41Z
A,A,42,637,652228.365548651,5298149.35804903,637_1,2012-02-11T16:30:07Z
A,A,42,637,652213.669528645,5298141.21208163,637_1,2012-02-11T17:30:18Z
A,A,42,638,652191.522910044,5298135.39578518,638_1,2012-02-11T18:30:26Z
A,A,42,638,652187.124625912,5298134.42486061,638_1,2012-02-11T19:30:06Z
A,A,42,639,652187.950629859,5298137.36480311,639_1,2012-02-11T20:30:42Z
A,A,42,639,652190.046572302,5298091.03212659,639_1,2012-02-11T21:30:08Z
A,A,42,640,652219.648839926,5298474.8444865,640_1,2012-02-11T22:30:53Z
A,A,42,640,652187.839159846,5298405.28600484,640_1,2012-02-11T23:30:11Z
A,A,42,641,652107.021513861,5298451.49444819,641_1,2012-02-12T00:30:42Z
A,A,42,641,652038.25383746,5298235.86761416,641_2,2012-02-12T01:30:14Z
A,A,42,642,652076.426296266,5298061.42460334,642_1,2012-02-12T02:30:42Z
A,A,45,139,652000.91446837,5304603.01851451,139_3,2010-02-14T23:30:44Z
A,A,45,670,651485.448614231,5299188.5846768,670_1,2012-02-14T04:30:48Z
A,A,45,670,651485.929660191,5299179.82598735,670_1,2012-02-14T05:30:08Z
A,A,45,671,651485.129912375,5299185.25553908,671_1,2012-02-14T06:30:42Z
A,A,45,671,651561.075300529,5299026.71291357,671_1,2012-02-14T07:30:09Z
A,A,45,672,651775.271036944,5299487.35371226,672_1,2012-02-14T08:30:11Z
A,A,45,672,651619.475476226,5299752.27026387,672_2,2012-02-14T09:30:53Z
A,A,45,673,651433.489675793,5299967.86892934,673_1,2012-02-14T10:30:17Z
A,A,45,673,651431.918789902,5299965.32106669,673_1,2012-02-14T11:30:54Z
A,A,45,674,651432.208069675,5299963.6248737,674_1,2012-02-14T12:30:16Z
A,A,45,674,651429.010018732,5299963.5655836,674_1,2012-02-14T13:30:07Z
A,A,45,675,651161.511609877,5299599.72074631,675_3,2012-02-14T14:30:39Z
A,A,45,675,651126.906775866,5299467.4885568,675_3,2012-02-14T15:30:41Z
A,A,45,676,651044.744976147,5299952.98077485,676_2,2012-02-14T16:30:04Z
A,A,45,676,651322.448394437,5300076.51408708,676_1,2012-02-14T17:30:42Z
A,A,45,677,651236.357930687,5300018.18404939,677_1,2012-02-14T18:30:16Z
A,A,45,677,651178.059942077,5300226.41731981,677_2,2012-02-14T19:30:25Z
A,A,45,678,651173.043100549,5300233.52492267,678_1,2012-02-14T20:30:10Z
A,A,45,678,651174.356344579,5300239.77044642,678_1,2012-02-14T21:30:41Z
A,A,45,679,651117.941879634,5300206.05750755,679_2,2012-02-14T22:30:11Z
A,A,45,679,651388.609098899,5300166.65185903,679_1,2012-02-14T23:30:16Z
A,A,45,680,651203.2834228,5300090.18950823,680_1,2012-02-15T00:30:41Z
A,A,45,680,651221.421193018,5300044.52093101,680_1,2012-02-15T01:30:10Z
A,A,45,681,651319.036175431,5299925.96162148,681_1,2012-02-15T02:30:27Z
A,A,48,151,652813.048061406,5303740.91772387,151_3,2010-02-17T08:30:41Z
A,A,48,152,652831.409731179,5303740.71519513,152_3,2010-02-17T13:31:31Z
A,A,48,154,653407.838169593,5303846.89411264,154_3,2010-02-17T23:30:44Z
A,A,48,310,664189.634555197,5326994.78471558,310_3,2011-02-17T08:30:50Z
A,A,48,312,664237.605969411,5326225.78522789,312_3,2011-02-17T18:31:17Z
A,A,48,709,650325.906602896,5300591.22369981,709_1,2012-02-17T04:30:09Z
A,A,48,709,650162.094633458,5300674.52827874,709_1,2012-02-17T05:30:41Z
A,A,48,710,650045.457260371,5300825.44678139,710_1,2012-02-17T06:30:16Z
A,A,48,710,649755.507832535,5300719.33604219,710_2,2012-02-17T07:30:21Z
A,A,48,711,649754.138300767,5300718.44757634,711_1,2012-02-17T08:30:15Z
A,A,48,711,649756.865280303,5300730.25651485,711_1,2012-02-17T09:30:53Z
A,A,48,712,649752.927368265,5300727.24522487,712_1,2012-02-17T10:30:13Z
A,A,48,712,649752.738583276,5300728.26124862,712_1,2012-02-17T11:30:13Z
A,A,48,713,649791.927650259,5300679.51536624,713_1,2012-02-17T12:30:23Z
A,A,48,713,649629.839488833,5300759.65187547,713_1,2012-02-17T13:30:54Z
A,A,48,714,649803.083640189,5300793.60977273,714_4,2012-02-17T14:30:11Z
A,A,48,715,650107.1790511,5301803.54884526,715_1,2012-02-17T16:30:10Z
A,A,48,715,649570.466913439,5301705.43216184,715_2,2012-02-17T17:30:10Z
A,A,48,716,649491.768199061,5301557.51963262,716_1,2012-02-17T18:30:25Z
A,A,48,716,649561.713631953,5301488.77731299,716_1,2012-02-17T19:30:47Z
A,A,48,717,649563.917331947,5301485.91839894,717_1,2012-02-17T20:30:47Z
A,A,48,717,649560.00622129,5301488.25269649,717_1,2012-02-17T21:30:18Z
A,A,48,718,649857.250959527,5301508.46285655,718_2,2012-02-17T22:30:48Z
A,A,48,718,650265.960927263,5301041.39618914,718_1,2012-02-17T23:30:15Z
A,A,48,719,650334.866383651,5300917.5603449,719_1,2012-02-18T00:30:22Z
A,A,48,719,650036.841171647,5300654.26627929,719_2,2012-02-18T01:30:49Z
A,A,48,720,649994.517022538,5300640.09063435,720_1,2012-02-18T02:30:08Z
A,B,18,3,650548.991740523,5307573.61724104,3_3,2010-01-18T18:30:53Z
A,B,18,163,659881.300738225,5315025.41456474,163_3,2011-01-18T23:30:50Z
A,B,20,11,653100.829973509,5315701.62704574,11_3,2010-01-20T08:31:12Z
A,B,20,12,653340.326324946,5314836.04235261,12_3,2010-01-20T13:30:47Z
A,B,20,344,647494.597354344,5297528.73544138,344_2,2012-01-20T03:30:42Z
A,B,21,175,660095.36456167,5313186.96118167,175_3,2011-01-21T08:31:03Z
A,B,21,176,660175.452775667,5313163.52488627,176_3,2011-01-21T13:30:53Z
A,B,21,363,647942.672782532,5300489.10463687,363_2,2012-01-21T14:30:23Z
A,B,29,57,653142.016398054,5302255.75162092,57_3,2010-01-29T13:30:48Z
A,B,29,216,659249.959129516,5317522.91228153,216_3,2011-01-29T13:30:49Z
A,B,29,218,658325.923199986,5317943.1417229,218_3,2011-01-29T23:30:57Z
A,B,29,467,650059.414099625,5299692.83352099,467_3,2012-01-29T14:30:12Z
A,B,33,76,651613.703199943,5304405.04730043,76_3,2010-02-02T08:30:55Z
A,B,33,235,659117.615355101,5323406.08505147,235_3,2011-02-02T08:30:54Z
A,B,33,236,659139.780337804,5323410.92052581,236_3,2011-02-02T13:30:53Z
A,B,33,238,658842.135682255,5323130.14957615,238_3,2011-02-02T23:31:12Z
A,B,33,519,651354.593980818,5298584.49925129,519_4,2012-02-02T14:30:41Z
A,B,34,241,661328.50609557,5326445.44784573,241_3,2011-02-03T13:30:49Z
A,B,34,242,663313.258125426,5328251.88324048,242_3,2011-02-03T18:30:49Z
A,B,34,243,663136.628800673,5327848.60193373,243_3,2011-02-03T23:30:55Z
A,B,37,96,650734.577008777,5304443.3134698,96_3,2010-02-06T08:30:49Z
A,B,37,98,651198.682040962,5303909.73523033,98_3,2010-02-06T18:30:48Z
A,B,37,255,663649.47602012,5324647.56383217,255_3,2011-02-06T08:30:54Z
A,B,37,571,651805.197763628,5297944.05032664,571_3,2012-02-06T14:30:42Z
A,B,44,131,651842.598009405,5306425.34769898,131_2,2010-02-13T08:30:54Z
A,B,44,289,662231.014900195,5324392.45123173,289_3,2011-02-13T03:30:50Z
